Category: All categories

Month,Golf: (United States),Soccer: (United States),Tennis: (United States),Hockey: (United States),Baseball: (United States)
2004-01,45,21,13,21,25
2004-02,49,23,13,22,32
2004-03,64,27,16,22,44
2004-04,81,29,16,16,54
2004-05,82,29,17,14,53
2004-06,100,33,19,12,53
2004-07,93,27,22,10,42
2004-08,85,36,21,13,33
2004-09,66,34,22,16,28
2004-10,48,30,13,15,37
2004-11,40,27,12,19,21
2004-12,45,21,11,18,22
2005-01,45,21,14,18,24
2005-02,51,25,14,18,33
2005-03,63,27,15,20,44
2005-04,82,31,18,12,57
2005-05,82,31,17,9,55
2005-06,97,29,19,9,55
2005-07,92,24,19,9,43
2005-08,86,30,20,12,33
2005-09,64,36,24,14,27
2005-10,49,33,12,21,31
2005-11,42,30,11,21,19
2005-12,42,21,10,21,21
2006-01,44,22,14,21,25
2006-02,47,25,13,27,32
2006-03,57,27,15,20,52
2006-04,79,31,15,14,53
2006-05,78,40,16,12,55
2006-06,90,83,18,11,55
2006-07,89,40,20,8,42
2006-08,81,34,20,10,32
2006-09,64,36,22,14,26
2006-10,49,33,12,19,27
2006-11,41,29,11,20,18
2006-12,41,21,10,20,17
2007-01,40,22,14,20,21
2007-02,44,25,13,20,29
2007-03,56,27,15,21,42
2007-04,71,29,15,14,51
2007-05,78,31,16,11,52
2007-06,93,32,18,9,54
2007-07,86,29,19,9,41
2007-08,77,33,20,10,34
2007-09,62,39,22,13,27
2007-10,46,33,12,17,28
2007-11,35,29,11,19,17
2007-12,36,21,10,18,18
2008-01,39,22,14,19,20
2008-02,43,24,12,21,29
2008-03,52,26,14,19,42
2008-04,66,29,15,15,51
2008-05,70,32,15,11,51
2008-06,86,37,18,10,50
2008-07,75,25,19,8,38
2008-08,64,33,20,10,29
2008-09,51,34,19,14,23
2008-10,38,30,11,17,22
2008-11,31,28,10,19,15
2008-12,31,19,9,18,16
2009-01,33,20,13,19,20
2009-02,38,23,12,18,29
2009-03,48,26,13,18,45
2009-04,64,27,14,14,47
2009-05,64,30,16,12,52
2009-06,78,31,18,9,51
2009-07,73,24,17,8,37
2009-08,67,31,17,9,30
2009-09,52,33,27,13,24
2009-10,37,33,11,18,25
2009-11,32,32,10,18,18
2009-12,31,20,9,19,15
2010-01,29,20,14,21,18
2010-02,33,22,10,48,24
2010-03,43,25,12,22,36
2010-04,60,26,12,14,46
2010-05,57,33,14,12,51
2010-06,66,65,16,10,51
2010-07,61,33,12,8,34
2010-08,59,27,14,8,28
2010-09,44,31,20,11,22
2010-10,35,28,10,16,24
2010-11,27,25,9,16,14
2010-12,27,18,8,18,14
2011-01,30,20,12,19,19
2011-02,37,22,10,19,27
2011-03,41,26,12,18,40
2011-04,56,28,13,15,50
2011-05,56,30,14,12,52
2011-06,70,33,16,10,54
2011-07,64,39,14,7,40
2011-08,56,30,14,8,30
2011-09,44,34,21,12,26
2011-10,34,33,9,17,27
2011-11,29,28,9,17,15
2011-12,29,19,8,18,16
2012-01,29,21,11,19,19
2012-02,37,23,10,19,28
2012-03,47,27,13,18,40
2012-04,59,27,12,15,54
2012-05,58,31,13,12,56
2012-06,73,36,15,9,59
2012-07,63,30,16,9,39
2012-08,55,39,18,10,29
2012-09,44,34,19,11,26
2012-10,32,30,9,13,27
2012-11,25,24,8,14,14
2012-12,26,18,7,15,14
2013-01,29,20,11,21,19
2013-02,34,24,9,21,29
2013-03,40,27,12,20,46
2013-04,52,27,11,13,54
2013-05,52,31,12,13,55
2013-06,64,30,14,13,55
2013-07,58,27,13,8,40
2013-08,54,29,16,8,33
2013-09,41,34,18,12,27
2013-10,31,30,9,17,27
2013-11,26,28,9,19,16
2013-12,25,20,7,18,14
2014-01,27,20,11,21,18
2014-02,29,23,9,55,27
2014-03,36,25,12,19,40
2014-04,48,27,11,15,53
2014-05,49,32,12,14,57
2014-06,57,81,13,10,55
2014-07,53,50,12,7,39
2014-08,53,31,16,8,34
2014-09,39,33,16,11,25
2014-10,29,30,9,15,27
2014-11,24,27,8,17,15
2014-12,25,21,7,16,15
2015-01,25,21,10,17,18
2015-02,29,23,9,17,26
2015-03,36,27,12,18,39
2015-04,48,28,11,13,51
2015-05,47,30,12,12,54
2015-06,61,37,12,10,50
2015-07,59,37,14,7,36
2015-08,54,28,14,8,31
